"_time",host,totalCPUTime
"2019-04-02T04:20:00.000+0000","eu16-app1-4-fra.ops.sfdc.net",1469145
"2019-04-02T04:20:00.000+0000","eu16-app1-5-fra.ops.sfdc.net",1228652
"2019-04-02T04:20:00.000+0000","eu16-app1-6-fra.ops.sfdc.net",1062269
"2019-04-02T04:20:00.000+0000","eu16-app1-7-fra.ops.sfdc.net",1779382
"2019-04-02T04:20:00.000+0000","eu16-app1-8-fra.ops.sfdc.net",1125038
"2019-04-02T04:20:00.000+0000","eu16-app1-9-fra.ops.sfdc.net",834251
"2019-04-02T04:20:00.000+0000","eu16-app2-1-fra.ops.sfdc.net",2312362
"2019-04-02T04:20:00.000+0000","eu16-app2-10-fra.ops.sfdc.net",276674
"2019-04-02T04:20:00.000+0000","eu16-app2-11-fra.ops.sfdc.net",2179303
"2019-04-02T04:20:00.000+0000","eu16-app2-12-fra.ops.sfdc.net",1045351
"2019-04-02T04:20:00.000+0000","eu16-app2-13-fra.ops.sfdc.net",1980320
"2019-04-02T04:20:00.000+0000","eu16-app2-14-fra.ops.sfdc.net",1265247
"2019-04-02T04:20:00.000+0000","eu16-app2-15-fra.ops.sfdc.net",999906
"2019-04-02T04:20:00.000+0000","eu16-app2-16-fra.ops.sfdc.net",1489188
"2019-04-02T04:20:00.000+0000","eu16-app2-17-fra.ops.sfdc.net",1293628
"2019-04-02T04:20:00.000+0000","eu16-app2-18-fra.ops.sfdc.net",1817062
"2019-04-02T04:20:00.000+0000","eu16-app2-19-fra.ops.sfdc.net",1804846
"2019-04-02T04:20:00.000+0000","eu16-app2-2-fra.ops.sfdc.net",1377162
"2019-04-02T04:20:00.000+0000","eu16-app2-20-fra.ops.sfdc.net",1719461
"2019-04-02T04:20:00.000+0000","eu16-app2-21-fra.ops.sfdc.net",1234548
"2019-04-02T04:20:00.000+0000","eu16-app2-22-fra.ops.sfdc.net",1308390
"2019-04-02T04:20:00.000+0000","eu16-app2-23-fra.ops.sfdc.net",1099226
"2019-04-02T04:20:00.000+0000","eu16-app2-24-fra.ops.sfdc.net",1850771
"2019-04-02T04:20:00.000+0000","eu16-app2-25-fra.ops.sfdc.net",1850039
"2019-04-02T04:20:00.000+0000","eu16-app2-26-fra.ops.sfdc.net",2162110
"2019-04-02T04:20:00.000+0000","eu16-app2-27-fra.ops.sfdc.net",1666995
"2019-04-02T04:20:00.000+0000","eu16-app2-28-fra.ops.sfdc.net",1201894
"2019-04-02T04:20:00.000+0000","eu16-app2-29-fra.ops.sfdc.net",974817
"2019-04-02T04:20:00.000+0000","eu16-app2-3-fra.ops.sfdc.net",1652808
"2019-04-02T04:20:00.000+0000","eu16-app2-30-fra.ops.sfdc.net",1845552
"2019-04-02T04:20:00.000+0000","eu16-app2-4-fra.ops.sfdc.net",1844615
"2019-04-02T04:20:00.000+0000","eu16-app2-5-fra.ops.sfdc.net",811186
"2019-04-02T04:20:00.000+0000","eu16-app2-6-fra.ops.sfdc.net",1806141
"2019-04-02T04:20:00.000+0000","eu16-app2-7-fra.ops.sfdc.net",945173
"2019-04-02T04:20:00.000+0000","eu16-app2-9-fra.ops.sfdc.net",1838938
"2019-04-02T04:30:00.000+0000","eu16-app1-1-fra.ops.sfdc.net",1172456
"2019-04-02T04:30:00.000+0000","eu16-app1-10-fra.ops.sfdc.net",2172309
"2019-04-02T04:30:00.000+0000","eu16-app1-11-fra.ops.sfdc.net",1976904
"2019-04-02T04:30:00.000+0000","eu16-app1-12-fra.ops.sfdc.net",2208197
"2019-04-02T04:30:00.000+0000","eu16-app1-13-fra.ops.sfdc.net",2440367
"2019-04-02T04:30:00.000+0000","eu16-app1-14-fra.ops.sfdc.net",1691309
"2019-04-02T04:30:00.000+0000","eu16-app1-15-fra.ops.sfdc.net",1128577
"2019-04-02T04:30:00.000+0000","eu16-app1-16-fra.ops.sfdc.net",1621629
"2019-04-02T04:30:00.000+0000","eu16-app1-17-fra.ops.sfdc.net",2055429
"2019-04-02T04:30:00.000+0000","eu16-app1-18-fra.ops.sfdc.net",1207032
"2019-04-02T04:30:00.000+0000","eu16-app1-19-fra.ops.sfdc.net",1911536
"2019-04-02T04:30:00.000+0000","eu16-app1-2-fra.ops.sfdc.net",1464264
"2019-04-02T04:30:00.000+0000","eu16-app1-20-fra.ops.sfdc.net",1592996
"2019-04-02T04:30:00.000+0000","eu16-app1-21-fra.ops.sfdc.net",2789295
"2019-04-02T04:30:00.000+0000","eu16-app1-22-fra.ops.sfdc.net",67
"2019-04-02T04:30:00.000+0000","eu16-app1-23-fra.ops.sfdc.net",7193
"2019-04-02T04:30:00.000+0000","eu16-app1-24-fra.ops.sfdc.net",4514
"2019-04-02T04:30:00.000+0000","eu16-app1-25-fra.ops.sfdc.net",1456324
"2019-04-02T04:30:00.000+0000","eu16-app1-26-fra.ops.sfdc.net",3751817
"2019-04-02T04:30:00.000+0000","eu16-app1-27-fra.ops.sfdc.net",1473254
"2019-04-02T04:30:00.000+0000","eu16-app1-28-fra.ops.sfdc.net",1793144
"2019-04-02T04:30:00.000+0000","eu16-app1-29-fra.ops.sfdc.net",1540278
"2019-04-02T04:30:00.000+0000","eu16-app1-3-fra.ops.sfdc.net",1473482
"2019-04-02T04:30:00.000+0000","eu16-app1-30-fra.ops.sfdc.net",12
"2019-04-02T04:30:00.000+0000","eu16-app1-4-fra.ops.sfdc.net",2661397
"2019-04-02T04:30:00.000+0000","eu16-app1-5-fra.ops.sfdc.net",1697037
"2019-04-02T04:30:00.000+0000","eu16-app1-6-fra.ops.sfdc.net",2014021
"2019-04-02T04:30:00.000+0000","eu16-app1-7-fra.ops.sfdc.net",1833748
"2019-04-02T04:30:00.000+0000","eu16-app1-8-fra.ops.sfdc.net",1265414
"2019-04-02T04:30:00.000+0000","eu16-app1-9-fra.ops.sfdc.net",1617701
"2019-04-02T04:30:00.000+0000","eu16-app2-1-fra.ops.sfdc.net",2252842
"2019-04-02T04:30:00.000+0000","eu16-app2-10-fra.ops.sfdc.net",608751
"2019-04-02T04:30:00.000+0000","eu16-app2-11-fra.ops.sfdc.net",2038324
"2019-04-02T04:30:00.000+0000","eu16-app2-12-fra.ops.sfdc.net",1262787
"2019-04-02T04:30:00.000+0000","eu16-app2-13-fra.ops.sfdc.net",2151138
"2019-04-02T04:30:00.000+0000","eu16-app2-14-fra.ops.sfdc.net",1764149
"2019-04-02T04:30:00.000+0000","eu16-app2-15-fra.ops.sfdc.net",2103052
"2019-04-02T04:30:00.000+0000","eu16-app2-16-fra.ops.sfdc.net",1791638
"2019-04-02T04:30:00.000+0000","eu16-app2-17-fra.ops.sfdc.net",1570062
"2019-04-02T04:30:00.000+0000","eu16-app2-18-fra.ops.sfdc.net",2808581
"2019-04-02T04:30:00.000+0000","eu16-app2-19-fra.ops.sfdc.net",2379132
"2019-04-02T04:30:00.000+0000","eu16-app2-2-fra.ops.sfdc.net",2130285
"2019-04-02T04:30:00.000+0000","eu16-app2-20-fra.ops.sfdc.net",2285966
"2019-04-02T04:30:00.000+0000","eu16-app2-21-fra.ops.sfdc.net",1862392
"2019-04-02T04:30:00.000+0000","eu16-app2-22-fra.ops.sfdc.net",1594003
"2019-04-02T04:30:00.000+0000","eu16-app2-23-fra.ops.sfdc.net",1973081
"2019-04-02T04:30:00.000+0000","eu16-app2-24-fra.ops.sfdc.net",1611384
"2019-04-02T04:30:00.000+0000","eu16-app2-25-fra.ops.sfdc.net",2533445
"2019-04-02T04:30:00.000+0000","eu16-app2-26-fra.ops.sfdc.net",2597709
"2019-04-02T04:30:00.000+0000","eu16-app2-27-fra.ops.sfdc.net",2226032
"2019-04-02T04:30:00.000+0000","eu16-app2-28-fra.ops.sfdc.net",1544306
